gc 1 @0.014s 1%: 0.007+0.74+0.084 ms clock, 0.060+0.29/0.62/0.070+0.67 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 2 @0.024s 1%: 0.057+0.73+0.032 ms clock, 0.46+0.44/0.74/0+0.26 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 3 @0.031s 1%: 0.008+0.40+0.019 ms clock, 0.071+0.045/0.62/0.81+0.15 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 4 @0.037s 1%: 0.006+0.62+0.013 ms clock, 0.051+0.067/0.98/1.4+0.11 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 5 @0.046s 2%: 0.31+1.9+0.046 ms clock, 2.5+0/2.6/0.078+0.37 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 6 @0.063s 2%: 0.087+0.64+0.002 ms clock, 0.70+0.29/1.0/1.1+0.020 ms cpu, 5->5->2 MB, 6 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 7 @0.068s 2%: 0.053+0.50+0.002 ms clock, 0.42+0.092/0.86/1.3+0.023 ms cpu, 5->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 8 @0.075s 2%: 0.037+0.51+0.002 ms clock, 0.30+0.032/0.83/1.5+0.019 ms cpu, 5->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 9 @0.085s 2%: 0.030+0.60+0.001 ms clock, 0.24+0.050/0.84/1.0+0.015 ms cpu, 5->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 10 @0.090s 2%: 0.059+0.58+0.002 ms clock, 0.47+0.56/1.0/0.11+0.022 ms cpu, 5->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 11 @0.093s 2%: 0.023+0.45+0.002 ms clock, 0.18+0.062/0.75/0.51+0.018 ms cpu, 5->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 12 @0.095s 2%: 0.022+0.47+0.002 ms clock, 0.18+0.71/0.84/0.17+0.018 ms cpu, 5->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 13 @0.098s 2%: 0.021+0.42+0.002 ms clock, 0.17+0.35/0.72/0.20+0.019 ms cpu, 5->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 14 @0.101s 2%: 0.027+0.39+0.001 ms clock, 0.21+0.039/0.67/0.60+0.012 ms cpu, 5->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 15 @0.105s 3%: 0.033+0.60+0.001 ms clock, 0.26+0.54/0.84/0.12+0.015 ms cpu, 5->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 16 @0.107s 3%: 0.033+0.55+0.001 ms clock, 0.26+0.056/0.99/0.68+0.014 ms cpu, 5->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 17 @0.109s 3%: 0.020+0.48+0.001 ms clock, 0.16+0.068/0.82/0.51+0.014 ms cpu, 5->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 18 @0.113s 3%: 0.024+0.38+0.001 ms clock, 0.19+0.038/0.68/0.62+0.013 ms cpu, 5->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 19 @0.140s 2%: 0.099+0.55+0.003 ms clock, 0.79+0.054/1.0/2.2+0.030 ms cpu, 5->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 20 @0.394s 1%: 0.11+0.65+0.016 ms clock, 0.92+0.076/0.97/1.6+0.13 ms cpu, 5->5->3 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 8 P
# command-line-arguments
gc 1 @0.002s 3%: 0.004+0.42+0.017 ms clock, 0.032+0.030/0.68/0.29+0.13 ms cpu, 4->6->5 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 2 @0.007s 2%: 0.004+0.50+0.008 ms clock, 0.039+0.032/0.81/0.23+0.065 ms cpu, 9->10->8 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 3 @0.009s 3%: 0.006+0.40+0.010 ms clock, 0.051+0.031/0.51/0.31+0.086 ms cpu, 16->16->15 MB, 17 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 4 @0.057s 1%: 0.022+1.3+0.017 ms clock, 0.18+0.035/1.8/1.1+0.13 ms cpu, 30->31->17 MB, 31 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 5 @0.080s 1%: 0.045+2.0+0.010 ms clock, 0.36+0/3.2/3.8+0.084 ms cpu, 33->35->24 MB, 34 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 6 @0.123s 1%: 0.093+4.1+0.029 ms clock, 0.74+0/6.1/3.6+0.23 ms cpu, 47->48->33 MB, 49 MB goal, 0 MB stacks, 0 MB globals, 8 P
2023/06/23 14:27:14 opening browser window, if this fails, navigate to http://127.0.0.1:51387/
